지역,2024_1분기,2024_2분기,2024_3분기,2024_4분기
지역,,,,
전국,122.8,123.0,125.0,124.73333333333333
수도권,141.5,143.03333333333333,147.1,147.1
지방,107.23333333333333,106.43333333333334,106.60000000000001,106.16666666666667
서울,159.33333333333331,162.5,170.03333333333333,171.0666666666667
서울,165.6,169.23333333333335,176.96666666666667,177.29999999999998
서울,161.86666666666667,164.36666666666667,170.70000000000002,170.80000000000004
서울,159.53333333333333,163.56666666666666,174.16666666666666,177.33333333333334
서울,155.83333333333334,158.8,165.70000000000002,166.20000000000002
서울,157.93333333333334,161.03333333333333,167.63333333333335,168.1
부산,104.93333333333332,104.0,103.96666666666665,103.33333333333333
대구,101.09999999999998,99.96666666666665,99.36666666666667,98.73333333333333
인천,121.03333333333335,122.13333333333334,124.16666666666667,123.56666666666668
광주,125.33333333333333,123.3,123.5,122.33333333333333
대전,142.03333333333333,141.13333333333333,140.96666666666667,140.73333333333332
울산,99.23333333333333,99.33333333333333,99.63333333333333,100.56666666666666
세종,129.8,128.53333333333333,129.46666666666667,127.86666666666666
경기,137.1,137.86666666666667,140.53333333333333,140.1
강원,111.26666666666665,111.06666666666666,111.3,110.93333333333334
충북,109.26666666666667,108.83333333333333,109.53333333333335,108.93333333333332
충남,104.56666666666666,104.5,104.66666666666667,104.36666666666667
전북,108.89999999999999,109.0,109.90000000000002,110.36666666666666
전남,106.96666666666665,106.13333333333333,106.10000000000001,105.76666666666665
경북,100.53333333333335,99.56666666666666,100.16666666666667,99.33333333333333
경남,96.33333333333333,95.56666666666666,95.40000000000002,94.93333333333334
제주,108.76666666666665,108.86666666666667,109.43333333333334,109.33333333333333
6대광역시,112.76666666666667,112.16666666666667,112.46666666666665,112.0
5대광역시,110.83333333333333,109.86666666666667,109.76666666666667,109.26666666666667
8개도,104.23333333333333,103.76666666666667,104.06666666666666,103.73333333333333
,,,,
,,,,
