ADM_SECT_GBN|ADM_CD|ADM_SECT_NM|LOWEST_ADM_SECT_NM|DEL_YMD|CHG_BEF_ADM_SECT_GBN|CRE_YMD|CHG_BEF_ADM_SECT_CD|COL_ADM_SECT_CD
L|4157025621|경기도 김포시 양촌읍 양곡리|양곡리||L|20111114|4157032021|26110
L|4157025622|경기도 김포시 양촌읍 누산리|누산리||L|20111114|4157032022|26110
L|4157025623|경기도 김포시 양촌읍 석모리|석모리||L|20111114|4157032023|26110
L|4157025624|경기도 김포시 양촌읍 구래리|구래리||L|20111114|4157032025|26110
L|4157025625|경기도 김포시 양촌읍 대포리|대포리||L|20111114|4157032026|26110
L|4157025626|경기도 김포시 양촌읍 학운리|학운리||L|20111114|4157032027|26110
L|4157025627|경기도 김포시 양촌읍 유현리|유현리||L|20111114|4157032028|26110
L|4157025628|경기도 김포시 양촌읍 흥신리|흥신리||L|20111114|4157032029|26110
L|4157034000|경기도 김포시 대곶면|대곶면||L|19980401|4187039000|26110
L|4157034021|경기도 김포시 대곶면 대능리|대능리||L|19980401|4187039021|26110
L|4157034022|경기도 김포시 대곶면 대벽리|대벽리||L|19980401|4187039022|26110
L|4157034023|경기도 김포시 대곶면 약암리|약암리||L|19980401|4187039023|26110
L|4157034024|경기도 김포시 대곶면 상마리|상마리||L|19980401|4187039024|26110
L|4157034025|경기도 김포시 대곶면 율생리|율생리||L|19980401|4187039025|26110
L|4157034026|경기도 김포시 대곶면 초원지리|초원지리||L|19980401|4187039026|26110
L|4157034027|경기도 김포시 대곶면 거물대리|거물대리||L|19980401|4187039027|26110
L|4157034028|경기도 김포시 대곶면 오니산리|오니산리||L|19980401|4187039028|26110
L|4157034029|경기도 김포시 대곶면 송마리|송마리||L|19980401|4187039029|26110
L|4157034030|경기도 김포시 대곶면 석정리|석정리||L|19980401|4187039030|26110
L|4157034031|경기도 김포시 대곶면 쇄암리|쇄암리||L|19980401|4187039031|26110
L|4157034032|경기도 김포시 대곶면 신안리|신안리||L|19980401|4187039032|26110
L|4157034033|경기도 김포시 대곶면 대명리|대명리||L|19980401|4187039033|26110
L|4157035000|경기도 김포시 월곶면|월곶면||L|19980401|4187040000|26110
L|4157035021|경기도 김포시 월곶면 군하리|군하리||L|19980401|4187040021|26110
L|4157035022|경기도 김포시 월곶면 고막리|고막리||L|19980401|4187040022|26110
L|4157035023|경기도 김포시 월곶면 갈산리|갈산리||L|19980401|4187040023|26110
L|4157035024|경기도 김포시 월곶면 고양리|고양리||L|19980401|4187040024|26110
L|4157035025|경기도 김포시 월곶면 포내리|포내리||L|19980401|4187040025|26110
L|4157035026|경기도 김포시 월곶면 성동리|성동리||L|19980401|4187040026|26110
L|4157035027|경기도 김포시 월곶면 보구곶리|보구곶리||L|19980401|4187040027|26110
L|4157035028|경기도 김포시 월곶면 용강리|용강리||L|19980401|4187040028|26110
L|4157035029|경기도 김포시 월곶면 조강리|조강리||L|19980401|4187040029|26110
L|4157035030|경기도 김포시 월곶면 개곡리|개곡리||L|19980401|4187040030|26110
L|4157036000|경기도 김포시 하성면|하성면||L|19980401|4187038000|26110
L|4157036021|경기도 김포시 하성면 마곡리|마곡리||L|19980401|4187038021|26110
L|4157036022|경기도 김포시 하성면 석탄리|석탄리||L|19980401|4187038022|26110
L|4157036023|경기도 김포시 하성면 후평리|후평리||L|19980401|4187038023|26110
L|4157036024|경기도 김포시 하성면 시암리|시암리||L|19980401|4187038024|26110
L|4157036025|경기도 김포시 하성면 마조리|마조리||L|19980401|4187038025|26110
L|4157036026|경기도 김포시 하성면 가금리|가금리||L|19980401|4187038027|26110
L|4157036027|경기도 김포시 하성면 양택리|양택리||L|19980401|4187038028|26110
L|4157036028|경기도 김포시 하성면 원산리|원산리||L|19980401|4187038029|26110
L|4157036029|경기도 김포시 하성면 하사리|하사리||L|19980401|4187038030|26110
L|4157036030|경기도 김포시 하성면 봉성리|봉성리||L|19980401|4187038031|26110
L|4157036031|경기도 김포시 하성면 전류리|전류리||L|19980401|4187038032|26110
L|4157036032|경기도 김포시 하성면 마근포리|마근포리||L|19980401|4187038033|26110
L|4159000000|경기도 화성시|화성시||L|20010321|4175000000|26110
L|4159011600|경기도 화성시 진안동|진안동||L|20060102|4159025021|26110
L|4159011700|경기도 화성시 병점동|병점동||L|20060102|4159025022|26110
L|4159011800|경기도 화성시 능동|능동||L|20060102|4159025023|26110
L|4159011900|경기도 화성시 기산동|기산동||L|20060102|4159025024|26110
L|4159012000|경기도 화성시 반월동|반월동||L|20060102|4159025025|26110
L|4159012100|경기도 화성시 반정동|반정동||L|20060102|4159025026|26110
L|4159012200|경기도 화성시 황계동|황계동||L|20060102|4159025027|26110
L|4159012300|경기도 화성시 배양동|배양동||L|20060102|4159025028|26110
L|4159012400|경기도 화성시 기안동|기안동||L|20060102|4159025029|26110
L|4159012500|경기도 화성시 송산동|송산동||L|20060102|4159025030|26110
L|4159012600|경기도 화성시 안녕동|안녕동||L|20060102|4159025031|26110
L|4159012700|경기도 화성시 반송동|반송동||L|20070129|4159042023|26110
L|4159012800|경기도 화성시 석우동|석우동||L|20070129|4159042024|26110
L|4159012900|경기도 화성시 오산동|오산동||L|20150102|4159042021|26110
L|4159013000|경기도 화성시 청계동|청계동||L|20150102|4159042022|26110
L|4159013100|경기도 화성시 영천동|영천동||L|20150102|4159042025|26110
L|4159013200|경기도 화성시 중동|중동||L|20180122|4159042026|26110
L|4159013300|경기도 화성시 신동|신동||L|20180122|4159042027|26110
L|4159013400|경기도 화성시 목동|목동||L|20180122|4159042028|26110
L|4159013500|경기도 화성시 산척동|산척동||L|20180122|4159042029|26110
L|4159013600|경기도 화성시 장지동|장지동||L|20180122|4159042030|26110
L|4159013700|경기도 화성시 송동|송동||L|20180122|4159042031|26110
L|4159013800|경기도 화성시 방교동|방교동||L|20180122|4159042032|26110
L|4159013900|경기도 화성시 금곡동|금곡동||L|20180122|4159042033|26110
L|4159014000|경기도 화성시 새솔동|새솔동||L|20180122||26110
L|4159025300|경기도 화성시 봉담읍|봉담읍||L|20010321|4175025300|26110
L|4159025321|경기도 화성시 봉담읍 상리|상리||L|20010321|4175025321|26110
L|4159025322|경기도 화성시 봉담읍 내리|내리||L|20010321|4175025322|26110
L|4159025323|경기도 화성시 봉담읍 수영리|수영리||L|20010321|4175025323|26110
L|4159025324|경기도 화성시 봉담읍 동화리|동화리||L|20010321|4175025324|26110
L|4159025325|경기도 화성시 봉담읍 와우리|와우리||L|20010321|4175025325|26110
L|4159025326|경기도 화성시 봉담읍 수기리|수기리||L|20010321|4175025326|26110
L|4159025327|경기도 화성시 봉담읍 분천리|분천리||L|20010321|4175025327|26110
L|4159025328|경기도 화성시 봉담읍 왕림리|왕림리||L|20010321|4175025328|26110
L|4159025329|경기도 화성시 봉담읍 세곡리|세곡리||L|20010321|4175025329|26110
L|4159025330|경기도 화성시 봉담읍 당하리|당하리||L|20010321|4175025330|26110
L|4159025331|경기도 화성시 봉담읍 마하리|마하리||L|20010321|4175025331|26110
L|4159025332|경기도 화성시 봉담읍 유리|유리||L|20010321|4175025332|26110
L|4159025333|경기도 화성시 봉담읍 덕리|덕리||L|20010321|4175025333|26110
L|4159025334|경기도 화성시 봉담읍 덕우리|덕우리||L|20010321|4175025334|26110
L|4159025335|경기도 화성시 봉담읍 하가등리|하가등리||L|20010321|4175025335|26110
L|4159025336|경기도 화성시 봉담읍 상기리|상기리||L|20010321|4175025336|26110
L|4159025600|경기도 화성시 우정읍|우정읍||L|20030614|4159038000|26110
L|4159025621|경기도 화성시 우정읍 원안리|원안리||L|20030614|4159038021|26110
L|4159025622|경기도 화성시 우정읍 호곡리|호곡리||L|20030614|4159038022|26110
L|4159025623|경기도 화성시 우정읍 운평리|운평리||L|20030614|4159038023|26110
L|4159025624|경기도 화성시 우정읍 한각리|한각리||L|20030614|4159038024|26110
L|4159025625|경기도 화성시 우정읍 멱우리|멱우리||L|20030614|4159038025|26110
L|4159025626|경기도 화성시 우정읍 화수리|화수리||L|20030614|4159038026|26110
L|4159025627|경기도 화성시 우정읍 주곡리|주곡리||L|20030614|4159038027|26110
L|4159025628|경기도 화성시 우정읍 이화리|이화리||L|20030614|4159038028|26110
L|4159025629|경기도 화성시 우정읍 석천리|석천리||L|20030614|4159038029|26110
L|4159025630|경기도 화성시 우정읍 매향리|매향리||L|20030614|4159038030|26110
L|4159025631|경기도 화성시 우정읍 화산리|화산리||L|20030614|4159038031|26110
L|4159025632|경기도 화성시 우정읍 조암리|조암리||L|20030614|4159038032|26110
L|4159025633|경기도 화성시 우정읍 국화리|국화리||L|20030614|4159038033|26110
L|4159025900|경기도 화성시 향남읍|향남읍||L|20070129|4159039000|26110
L|4159025921|경기도 화성시 향남읍 평리|평리||L|20070129|4159039021|26110
L|4159025922|경기도 화성시 향남읍 발안리|발안리||L|20070129|4159039022|26110
L|4159025923|경기도 화성시 향남읍 제암리|제암리||L|20070129|4159039023|26110
L|4159025924|경기도 화성시 향남읍 상신리|상신리||L|20070129|4159039024|26110
L|4159025925|경기도 화성시 향남읍 구문천리|구문천리||L|20070129|4159039025|26110
L|4159025926|경기도 화성시 향남읍 하길리|하길리||L|20070129|4159039026|26110
L|4159025927|경기도 화성시 향남읍 화리현리|화리현리||L|20070129|4159039027|26110
L|4159025928|경기도 화성시 향남읍 상두리|상두리||L|20070129|4159039028|26110
L|4159025929|경기도 화성시 향남읍 백토리|백토리||L|20070129|4159039029|26110
L|4159025930|경기도 화성시 향남읍 길성리|길성리||L|20070129|4159039030|26110
L|4159025931|경기도 화성시 향남읍 요리|요리||L|20070129|4159039031|26110
L|4159025932|경기도 화성시 향남읍 수직리|수직리||L|20070129|4159039032|26110
L|4159025933|경기도 화성시 향남읍 갈천리|갈천리||L|20070129|4159039033|26110
L|4159025934|경기도 화성시 향남읍 증거리|증거리||L|20070129|4159039034|26110
L|4159025935|경기도 화성시 향남읍 송곡리|송곡리||L|20070129|4159039035|26110
L|4159025936|경기도 화성시 향남읍 동오리|동오리||L|20070129|4159039036|26110
L|4159025937|경기도 화성시 향남읍 관리|관리||L|20070129|4159039037|26110
L|4159025938|경기도 화성시 향남읍 도이리|도이리||L|20070129|4159039038|26110
L|4159025939|경기도 화성시 향남읍 행정리|행정리||L|20070129|4159039039|26110
L|4159025940|경기도 화성시 향남읍 방축리|방축리||L|20070129|4159039040|26110
L|4159025941|경기도 화성시 향남읍 장짐리|장짐리||L|20070129|4159039041|26110
L|4159026200|경기도 화성시 남양읍|남양읍||L|20141020||26110
L|4159026221|경기도 화성시 남양읍 남양리|남양리||L|20141020|4159010100|26110
L|4159026222|경기도 화성시 남양읍 신남리|신남리||L|20141020|4159010200|26110
L|4159026223|경기도 화성시 남양읍 장덕리|장덕리||L|20141020|4159010300|26110
L|4159026224|경기도 화성시 남양읍 안석리|안석리||L|20141020|4159010400|26110
L|4159026225|경기도 화성시 남양읍 활초리|활초리||L|20141020|4159010500|26110
L|4159026226|경기도 화성시 남양읍 온석리|온석리||L|20141020|4159010600|26110
L|4159026227|경기도 화성시 남양읍 무송리|무송리||L|20141020|4159010700|26110
L|4159026228|경기도 화성시 남양읍 북양리|북양리||L|20141020|4159010800|26110
L|4159026229|경기도 화성시 남양읍 송림리|송림리||L|20141020|4159010900|26110
L|4159026230|경기도 화성시 남양읍 수화리|수화리||L|20141020|4159011000|26110
L|4159026231|경기도 화성시 남양읍 장전리|장전리||L|20141020|4159011100|26110
L|4159026232|경기도 화성시 남양읍 신외리|신외리||L|20141020|4159011200|26110
L|4159026233|경기도 화성시 남양읍 문호리|문호리||L|20141020|4159011300|26110
L|4159026234|경기도 화성시 남양읍 시리|시리||L|20141020|4159011400|26110
